party,year,emissions_gt
Latvia,2006,0.011489430337418002
Latvia,2007,0.011935994262571411
Latvia,2008,0.011475378329790523
Latvia,2009,0.010790555344478647
Latvia,2010,0.011857883416261816
Latvia,2011,0.011066320512611607
Latvia,2012,0.010884333414689954
Latvia,2013,0.01080042514319762
Latvia,2014,0.010712576490503134
Latvia,2015,0.01074478719673009
Latvia,2016,0.010742113272578322
Latvia,2017,0.01077609871887958
Latvia,2018,0.01127233036720064
Latvia,2019,0.011131865164114369
Latvia,2020,0.010483142878618604
Latvia,2021,0.010725292025601862
Liechtenstein,1990,0.00022964478782480316
Liechtenstein,1991,0.0002371733108033663
Liechtenstein,1992,0.00023731776325039408
Liechtenstein,1993,0.0002443527565886642
Liechtenstein,1994,0.0002306802941487635
Liechtenstein,1995,0.00023441317499573776
Liechtenstein,1996,0.00023673338771284592
Liechtenstein,1997,0.0002492351821133952
Liechtenstein,1998,0.00026018178982477856
Liechtenstein,1999,0.00025709371835695315
Liechtenstein,2000,0.0002476296698074383
Liechtenstein,2001,0.0002472615636280238
Liechtenstein,2002,0.0002536127378006793
Liechtenstein,2003,0.0002637132736062924
Liechtenstein,2004,0.0002639525261729152
Liechtenstein,2005,0.00026452260266260607
Liechtenstein,2006,0.00026816701123586546
Liechtenstein,2007,0.00023894330492055843
Liechtenstein,2008,0.00025860349763773337
Liechtenstein,2009,0.00024380390969915055
Liechtenstein,2010,0.0002288285446339444
Liechtenstein,2011,0.00021593923046881968
Liechtenstein,2012,0.00022515229224656874
Liechtenstein,2013,0.00023130599187428072
Liechtenstein,2014,0.00020025370974802647
Liechtenstein,2015,0.00019863585144632443
Liechtenstein,2016,0.00018830678035555376
Liechtenstein,2017,0.00019391466448794367
Liechtenstein,2018,0.00018170970584009064
Liechtenstein,2019,0.00018832273961149086
Liechtenstein,2020,0.00018087137600695028
Liechtenstein,2021,0.00018390422087040268
Lithuania,1990,0.04813454250690195
Lithuania,1991,0.05010069254161651
Lithuania,1992,0.031026927096582457
Lithuania,1993,0.024901782962507894
Lithuania,1994,0.023515737162317047
Lithuania,1995,0.02248603981264215
Lithuania,1996,0.023469120159018447
Lithuania,1997,0.023021510413601478
Lithuania,1998,0.02391269360081668
Lithuania,1999,0.02109826346738697
Lithuania,2000,0.019493645805754176
Lithuania,2001,0.020266178078015076
Lithuania,2002,0.02062606968713524
Lithuania,2003,0.020792927244476827
Lithuania,2004,0.021592717842295845
Lithuania,2005,0.022439798665136644
Lithuania,2006,0.02275609940684292
Lithuania,2007,0.02473003128987978
Lithuania,2008,0.023832423963635153
Lithuania,2009,0.0198261291975794
Lithuania,2010,0.02074177031725058
Lithuania,2011,0.02110452440263251
Lithuania,2012,0.021085975555367117
Lithuania,2013,0.019954614737085
Lithuania,2014,0.01985726429463502
Lithuania,2015,0.02015505583452764
Lithuania,2016,0.020220166653829145
Lithuania,2017,0.02034484902160191
Lithuania,2018,0.020013483273549043
Lithuania,2019,0.02024463821295296
Lithuania,2020,0.020165726378879503
Lithuania,2021,0.02025151124808239
Luxembourg,1990,0.012722411900992521
Luxembourg,1991,0.01335327727225802
Luxembourg,1992,0.013118287067121905
Luxembourg,1993,0.013281349880462822
Luxembourg,1994,0.012447630378654638
Luxembourg,1995,0.01007852389703484
Luxembourg,1996,0.010141467770268543
Luxembourg,1997,0.00949470277697541
Luxembourg,1998,0.008590875716497437
Luxembourg,1999,0.009051266283462736
Luxembourg,2000,0.00963499570256038
Luxembourg,2001,0.010137261301471644
Luxembourg,2002,0.010915324378728171
Luxembourg,2003,0.011366756732655662
Luxembourg,2004,0.012740933020019326
